GeneID	Symbol	LogFoldChange	P-Value
334	APLP2	-0,1369	0,00003
335	APOA1	0,0369	0,42
336	APOA2	0,0027	0,36
337	APOA4	0,0107	0,82
338	APOB	-0,0051	0,92
339	APOBEC1	-0,028	0,42
341	APOC1	-0,1984	0,0013
343	AQP8	-0,0223	0,5
344	APOC2	0,0056	0,27
345	APOC3	0,024	0,34
346	APOC4	-0,0101	0,83
347	APOD	0,2684	0,0011
348	APOE	0,0652	0,015
350	APOH	0,014	0,21
351	APP	-0,1548	0,000027
353	APRT	0,0623	0,019
354	KLK3	0,0049	0,37
355	FAS	0,1109	0,0079
356	FASLG	-0,0654	0,079
357	SHROOM2	-0,0064	0,89
358	AQP1	1,3399	0,0000000000084
359	AQP2	0,0059	0,47
360	AQP3	-0,0251	0,074
361	AQP4	0,4022	0,000003
362	AQP5	-0,0041	0,91
363	AQP6	0,0069	0,88
364	AQP7	-0,0625	0,093
366	AQP9	-0,0485	0,33
367	AR	0,0252	0,093
368	ABCC6	0,0323	0,071
369	ARAF	0,0485	0,0000000035
372	ARCN1	-0,0474	0,39
373	TRIM23	-0,1782	0,0012
374	AREG	0,0488	0,031
375	ARF1	-0,2042	0,000037
377	ARF3	-0,5709	0,0000000000026
378	ARF4	-0,3251	0,00052
379	ARL4D	-0,206	0,000042
381	ARF5	-0,3422	0,00000026
382	ARF6	0,0717	0,002
383	ARG1	-0,0108	0,16
384	ARG2	-0,2755	0,000001
387	RHOA	0,0773	0,14
388	RHOB	0,114	0,027
389	RHOC	0,0563	0,11
390	RND3	0,0455	0,57
391	RHOG	0,1982	0,00011
392	ARHGAP1	0,0558	0,0000031
393	ARHGAP4	-0,3374	0,0000000013
394	ARHGAP5	0,4245	0,0000000006
395	ARHGAP6	0,0911	0,00092
396	ARHGDIA	-0,3941	0,000003
397	ARHGDIB	0,3135	0,0031
398	ARHGDIG	-0,214	0,000026
399	RHOH	-0,0469	0,24
400	ARL1	-0,1878	0,00000026
401	PHOX2A	0,0115	0,72
402	ARL2	-0,1924	0,00019
403	ARL3	-0,1987	0,000051
405	ARNT	0,0581	0,00000085
406	ARNTL	-0,2118	0,0000013
407	ARR3	0,0135	0,65
408	ARRB1	0,3648	0,000000000094
409	ARRB2	-0,0379	0,34
410	ARSA	0,0711	0,012
411	ARSB	0,013	0,79
412	STS	-0,2587	0,000000034
414	ARSD	0,0349	0,0011
415	ARSE	-0,024	0,53
416	ARSF	0,0437	0,24
417	ART1	0,0648	0,15
419	ART3	-0,0118	0,81
420	ART4	-0,0813	0,1
421	ARVCF	0,057	0,054
427	ASAH1	0,0592	0,097
429	ASCL1	0,4689	0,000000000075
430	ASCL2	0,0076	0,5
432	ASGR1	-0,0428	0,25
433	ASGR2	0,0056	0,92
434	ASIP	-0,0389	0,31
435	ASL	0,0901	0,077
438	ASMT	-0,0044	0,26
439	ASNA1	-0,2373	0,0000043
440	ASNS	-0,1674	0,00029
443	ASPA	0,148	0,33
444	ASPH	0,1114	0,0013
445	ASS1	-0,0645	0,21
460	ASTN1	-0,1565	0,000063
462	SERPINC1	0,0424	0,31
463	ZFHX3	0,0538	0,0000075
466	ATF1	0,2214	0,000088
467	ATF3	0,4125	0,0053
468	ATF4	0,0396	0,00019
471	ATIC	0,0746	0,13
472	ATM	0,1582	0,000028
473	RERE	-0,0329	0,065
474	ATOH1	-0,0392	0,47
475	ATOX1	0,1125	0,029
476	ATP1A1	-0,3418	0,0000000038
477	ATP1A2	0,4447	0,0000062
478	ATP1A3	-1,09	0,000000039
479	ATP12A	0,0023	0,95
481	ATP1B1	-0,2776	0,002
482	ATP1B2	0,1697	0,01
483	ATP1B3	-0,0373	0,23
486	FXYD2	-0,0062	0,88
487	ATP2A1	0,0124	0,73
488	ATP2A2	-0,3805	0,00000000037
489	ATP2A3	-0,0259	0,0011
490	ATP2B1	-1,2992	0,000000000004
491	ATP2B2	-0,4593	0,000000000027
492	ATP2B3	-0,273	0,00000000014
493	ATP2B4	0,3273	0,000000009
495	ATP4A	-0,0122	0,77
496	ATP4B	0,1066	0,05
498	ATP5A1	-0,3058	0,00057
501	ALDH7A1	0,2216	0,013
506	ATP5B	-0,4929	0,00000084
509	ATP5C1	-0,2349	0,0000016
513	ATP5D	-0,1879	0,0000000025
514	ATP5E	-0,0095	0,89
515	ATP5F1	-0,2623	0,0018
516	ATP5G1	-0,2701	0,000003
517	ATP5G2	0,0994	0,02
518	ATP5G3	-0,4402	0,000028
520	ATP5GP1	0,0359	0,31
521	ATP5I	0,07	0,17
522	ATP5J	-0,2198	0,0072
523	ATP6V1A	-0,5374	0,00003
525	ATP6V1B1	-0,0118	0,7
526	ATP6V1B2	-0,4878	0,00002
527	ATP6V0C	-0,3994	0,00000011
528	ATP6V1C1	-0,21	0,00043
529	ATP6V1E1	-0,4116	0,0000021
533	ATP6V0B	-0,2521	0,0023
534	ATP6V1G2	-0,688	0,000000029
535	ATP6V0A1	-0,2747	0,000036
537	ATP6AP1	-0,2286	0,0025
538	ATP7A	0,114	0,011
539	ATP5O	-0,2436	0,000025
540	ATP7B	-0,0144	0,24
545	ATR	-0,0658	0,054
546	ATRX	-0,021	0,0031
547	KIF1A	-0,0354	0,027
549	AUH	-0,368	0,000024
551	AVP	0,0813	0,52
552	AVPR1A	-0,0079	0,5
553	AVPR1B	0,0164	0,64
554	AVPR2	0,02	0,11
558	AXL	0,2111	0,000019
563	AZGP1	0,1742	0,0000066
566	AZU1	-0,0176	0,65
567	B2M	0,0534	0,11
570	BAAT	-0,0395	0,43
571	BACH1	0,034	0,000055
572	BAD	0,0605	0,016
573	BAG1	-0,0731	0,0016
574	BAGE	0,0476	0,047
575	BAI1	-0,1056	0,02
576	BAI2	-0,6574	0,0000000026
577	BAI3	-0,3856	0,000000089
578	BAK1	0,0012	0,97
579	NKX3-2	-0,0062	0,83
580	BARD1	0,4383	0,000000025
581	BAX	-0,0009	0,00062
582	BBS1	-0,0147	0,33
583	BBS2	0,1922	0,0091
585	BBS4	0,1237	0,00074
586	BCAT1	-0,2243	0,00042
587	BCAT2	0,1145	0,0049
590	BCHE	-0,0344	0,66
593	BCKDHA	-0,0521	0,0021
594	BCKDHB	0,0045	0,15
595	CCND1	0,0922	0,054
596	BCL2	0,1521	0,0000000026
597	BCL2A1	0,0668	0,2
598	BCL2L1	0,0418	0,00007
599	BCL2L2	-0,0688	0,16
602	BCL3	0,1553	0,0014
604	BCL6	0,5808	0,0000013
605	BCL7A	-0,2408	0,000000046
607	BCL9	0,1461	0,00000088
608	TNFRSF17	-0,0444	0,19
610	HCN2	-0,357	0,0000000051
611	OPN1SW	-0,0178	0,59
613	BCR	-0,4158	0,00000000017
617	BCS1L	-0,014	0,69
622	BDH1	-0,1896	0,00029
623	BDKRB1	0,0059	0,87
624	BDKRB2	0,0148	0,75
627	BDNF	0,0464	0,042
629	CFB	0,0487	0,0033
631	BFSP1	-0,5465	0,0000000000045
632	BGLAP	0,2113	0,00015
633	BGN	0,2811	0,000000054
634	CEACAM1	0,0036	0,095
635	BHMT	0,0138	0,73
636	BICD1	0,1286	0,0000047
637	BID	-0,0443	0,021
638	BIK	-0,025	0,039
639	PRDM1	-0,0205	0,22
640	BLK	0,0219	0,26
641	BLM	0,0031	0,96
642	BLMH	-0,0792	0,014
643	BLR1	-0,0174	0,33
644	BLVRA	0,0584	0,00036
645	BLVRB	0,0289	0,52
646	BNC1	0,0341	0,29
648	BMI1	0,2201	0,0057
649	BMP1	-0,0135	0,23
650	BMP2	0,075	0,024
651	BMP3	0,0027	0,92
652	BMP4	-0,0014	0,98
653	BMP5	0,0193	0,087
654	BMP6	-0,0393	0,14
655	BMP7	0,1544	0,000000022
656	BMP8B	0,0133	0,09
657	BMPR1A	0,2255	0,0012
658	BMPR1B	-0,0408	0,46
659	BMPR2	-0,2428	0,0000078
660	BMX	0,0559	0,35
661	POLR3D	0,0166	0,58
662	BNIP1	-0,0243	0,081
663	BNIP2	0,095	0,0094
664	BNIP3	-0,0767	0,0064
665	BNIP3L	0,0351	0,031
666	BOK	0,2266	0,00011
667	DST	0,1023	0,00014
668	FOXL2	0,0394	0,073
669	BPGM	-0,0296	0,42
670	BPHL	0,0033	0,93
671	BPI	-0,0191	0,56
672	BRCA1	0,0724	0,03
673	BRAF	-0,0662	0,018
675	BRCA2	-0,0118	0,51
676	BRDT	0,0105	0,74
677	ZFP36L1	0,3892	0,00000044
678	ZFP36L2	0,2475	0,000048
680	BRS3	0,0003	0,99
682	BSG	-0,1369	0,05
683	BST1	0,0109	0,8
684	BST2	0,3961	0,000023
685	BTC	0,1068	0,015
686	BTD	0,1383	0,00072
687	KLF9	0,0588	0,085
688	KLF5	-0,2019	0,000068
689	BTF3	-0,0512	0,045
694	BTG1	0,3446	0,000089
695	BTK	0,0103	0,85
696	BTN1A1	-0,0335	0,063
699	BUB1	-0,018	0,29
701	BUB1B	-0,0907	0,00063
705	BYSL	-0,0032	0,93
706	TSPO	0,2288	0,000000062
708	C1QBP	-0,1076	0,092
710	SERPING1	0,8006	0,00000068
712	C1QA	0,5457	0,0029
713	C1QB	0,5178	0,011
715	C1R	0,5457	0,0000095
716	C1S	0,3541	0,0000016
717	C2	0,0174	0,66
718	C3	0,9801	0,00000054
719	C3AR1	0,104	0,084
720	C4A	1,047	0,000000028
721	C4B	1,1611	0,0000000024
722	C4BPA	0,0761	0,039
725	C4BPB	0,0322	0,45
726	CAPN5	0,0681	0,047
727	C5	0,0817	0,064
728	C5AR1	0,2207	0,0012
729	C6	0,1058	0,14
730	C7	0,0443	0,027
731	C8A	0,0232	0,46
732	C8B	-0,0371	0,41
733	C8G	-0,0088	0,77
734	OSGIN2	0,0487	0,014
735	C9	-0,0088	0,7
738	C11orf2	-0,2673	0,00027
740	MRPL49	-0,0505	0,14
741	ZNHIT2	-0,008	0,4
744	MPPED2	-0,4846	0,000000025
745	C11orf9	0,1089	0,00065
746	C11orf10	0,2106	0,0031
747	DAGLA	-0,0064	0,83
750	C16orf3	-0,0264	0,54
752	FMNL1	-0,113	0,0041
753	C18orf1	-0,2251	0,00000067
754	PTTG1IP	0,6506	0,0000000018
755	C21orf2	0,0173	0,12
757	TMEM50B	0,0264	0,16
758	MPPED1	-0,0366	0,037
759	CA1	0,0217	0,25
760	CA2	0,0409	0,78
761	CA3	0,0132	0,41
762	CA4	0,0339	0,39
763	CA5A	-0,067	0,12
765	CA6	-0,0211	0,65
766	CA7	-0,1247	0,0019
767	CA8	0,0891	0,18
768	CA9	-0,0073	0,88
770	CA11	-0,8296	0,00000000025
771	CA12	-0,9145	0,0000000000039
773	CACNA1A	-0,369	0,00000002
774	CACNA1B	-0,4328	0,000000064
775	CACNA1C	-0,139	0,000017
776	CACNA1D	-0,1825	0,00000000033
777	CACNA1E	-0,458	0,00000000039
778	CACNA1F	-0,1504	0,000000049
779	CACNA1S	0,0004	0,99
780	DDR1	0,5312	0,0000000003
781	CACNA2D1	-0,1106	0,0014
782	CACNB1	-0,2141	0,000003
783	CACNB2	-0,5265	0,0000000046
784	CACNB3	-0,4254	0,0000000051
785	CACNB4	-0,4814	0,0000062
786	CACNG1	-0,0362	0,25
788	SLC25A20	0,1961	0,0000097
789	SLC25A20P	-0,0613	0,11
790	CAD	0,1122	0,0061
793	CALB1	-1,9926	0,00000000025
794	CALB2	-0,0991	0,25
795	S100G	0,0266	0,56
796	CALCA	-0,0064	0,5
797	CALCB	0,0162	0,63
799	CALCR	0,0232	0,3
800	CALD1	0,2573	0,0000000017
801	CALM1	-0,2924	0,0000000022
805	CALM2	-0,1639	0,00078
808	CALM3	-0,8617	0,00000000037
810	CALML3	0,0064	0,64
811	CALR	0,0111	0,27
813	CALU	-0,0508	0,0021
814	CAMK4	-0,773	0,000000000012
815	CAMK2A	-0,3201	0,000011
816	CAMK2B	-0,7777	0,000000000013
817	CAMK2D	0,136	0,00027
818	CAMK2G	0,267	0,0000000077
819	CAMLG	-0,1276	0,032
820	CAMP	-0,0275	0,46
821	CANX	0,0042	0,000013
822	CAPG	0,375	0,000027
823	CAPN1	0,0425	0,21
824	CAPN2	0,2785	0,000000024
825	CAPN3	0,1568	0,0096
826	CAPNS1	-0,05	0,021
827	CAPN6	-0,0264	0,32
828	CAPS	0,5358	0,000044
829	CAPZA1	0,1316	0,00012
830	CAPZA2	0,061	0,071
831	CAST	0,2773	0,000000026
832	CAPZB	0,0419	0,011
833	CARS	-0,0261	0,036
834	CASP1	0,043	0,0013
835	CASP2	0,0232	0,000061
836	CASP3	0,1189	0,00023
837	CASP4	0,0583	0,099
838	CASP5	-0,0183	0,54
839	CASP6	0,1256	0,00000018
840	CASP7	0,2461	0,00063
841	CASP8	-0,0046	0,91
842	CASP9	0,0768	0,069
843	CASP10	-0,015	0,45
844	CASQ1	0,0167	0,64
845	CASQ2	0,021	0,71
846	CASR	-0,0365	0,054
847	CAT	0,1419	0,00093
856	CATR1	0,0275	0,39
857	CAV1	0,3273	0,0000018
858	CAV2	0,166	0,000025
859	CAV3	0,0297	0,38
860	RUNX2	0,0285	0,0038
861	RUNX1	0,0084	0,0092
862	RUNX1T1	-0,1344	0,00000041
863	CBFA2T3	-0,3451	0,000000026
864	RUNX3	0,0638	0,0019
865	CBFB	0,3496	0,000000011
866	SERPINA6	0,0097	0,81
867	CBL	0,0502	0,00000011
868	CBLB	0,1124	0,0004
869	CBLN1	-0,0681	0,098
871	SERPINH1	0,2361	0,01
873	CBR1	0,1237	0,19
874	CBR3	-0,1641	0,031
875	CBS	0,207	0,0000036
881	CCIN	-0,0167	0,77
883	CCBL1	0,0796	0,015
885	CCK	-0,0791	0,62
886	CCKAR	-0,0515	0,067
887	CCKBR	-0,2444	0,000015
889	KRIT1	0,0228	0,000068
890	CCNA2	0,106	0,0000045
891	CCNB1	-0,1222	0,0000015
892	CCNC	-0,28	0,0025
894	CCND2	-0,0561	0,036
896	CCND3	0,1315	0,0043
898	CCNE1	-0,0334	0,0087
899	CCNF	-0,0051	0,88
900	CCNG1	0,1752	0,013
901	CCNG2	-0,2298	0,000015
902	CCNH	-0,1762	0,046
904	CCNT1	0,1745	0,0011
905	CCNT2	0,0087	0,11
908	CCT6A	-0,1089	0,18
909	CD1A	0,019	0,74
910	CD1B	-0,0536	0,28
911	CD1C	0,0324	0,44
912	CD1D	0,0196	0,42
913	CD1E	-0,0271	0,32
914	CD2	0,0007	0,99
915	CD3D	0,0043	0,92
916	CD3E	-0,0259	0,6
917	CD3G	-0,0349	0,52
919	CD247	0,0185	0,62
920	CD4	-0,0146	0,52
921	CD5	0,0016	0,51
922	CD5L	-0,0034	0,93
923	CD6	-0,007	0,11
924	CD7	0,0338	0,021
925	CD8A	-0,1832	0,00026
926	CD8B	-0,0128	0,47
928	CD9	0,1124	0,000051
929	CD14	0,4257	0,016
930	CD19	0,0892	0,044
931	MS4A1	-0,0192	0,047
932	MS4A3	-0,0179	0,44
933	CD22	0,1939	0,00014
934	CD24	0,4384	0,00079
938	CD24L4	0,4114	0,0051
939	CD27	-0,0053	0,89
940	CD28	0,038	0,017
941	CD80	-0,0068	0,88
942	CD86	0,0852	0,0014
943	TNFRSF8	-0,142	0,00034
944	TNFSF8	-0,0442	0,26
945	CD33	-0,0315	0,58
946	SIGLEC6	-0,033	0,14
947	CD34	0,1194	0,069
948	CD36	0,246	0,0061
949	SCARB1	-0,0583	0,00000023
950	SCARB2	-0,1021	0,058
951	CD37	0,1835	0,011
952	CD38	0,1003	0,013
953	ENTPD1	0,0459	0,016
954	ENTPD2	0,2349	0,0000000073
955	ENTPD6	-0,2969	0,000000096
956	ENTPD3	-1,0324	0,000000000018
957	ENTPD5	0,1126	0,0013
958	CD40	0,0343	0,21
959	CD40LG	0,0185	0,63
960	CD44	0,3303	0,0000097
961	CD47	-0,0983	0,00041
962	CD48	-0,0219	0,098
963	CD53	0,0626	0,095
965	CD58	0,0889	0,0039
966	CD59	0,0859	0,000067
967	CD63	0,4501	0,000000058
968	CD68	0,1108	0,0011
969	CD69	0,0691	0,14
970	CD70	-0,0277	0,55
971	CD72	0,0083	0,84
972	CD74	0,3757	0,01
973	CD79A	-0,0445	0,44
974	CD79B	-0,0365	0,44
975	CD81	0,3759	0,000000057
976	CD97	0,1169	0,018
977	CD151	0,1584	0,00083
978	CDA	0,0428	0,43
983	CDC2	-0,017	0,049
984	CDC2L1	0,199	0,00035
987	LRBA	-0,0319	0,32
988	CDC5L	-0,0161	0,002
989	SEPT7	0,2864	0,000028
990	CDC6	-0,0125	0,44
991	CDC20	0,0809	0,028
993	CDC25A	-0,0336	0,1
994	CDC25B	0,0405	0,4
995	CDC25C	-0,011	0,41
996	CDC27	-0,0468	0,0066
997	CDC34	0,0736	0,04
998	CDC42	0,0555	0,0032
999	CDH1	0,0213	0,61
1000	CDH2	0,2124	0,0000014
1001	CDH3	0,0373	0,000039
1002	CDH4	-0,1244	0,00029
1003	CDH5	0,1707	0,048
1004	CDH6	-0,0818	0,00092
1005	CDH7	-0,3763	0,000000016
1006	CDH8	-0,288	0,000000015
1007	CDH9	-0,1375	0,001
1008	CDH10	-0,0685	0,16
1009	CDH11	-0,1854	0,000058
1010	CDH12	-0,4727	0,00000021
1012	CDH13	-0,0468	0,19
1013	CDH15	-0,0537	0,32
1014	CDH16	0,0031	0,94
1015	CDH17	-0,0406	0,14
1016	CDH18	-0,3763	0,000049
1017	CDK2	0,0337	0,0031
1018	CDK3	0,1193	0,000000000044
1019	CDK4	-0,1927	0,00000000053
1020	CDK5	-0,7334	0,000000000091
1021	CDK6	-0,0364	0,058
1022	CDK7	-0,2386	0,0011
1025	CDK9	0,0396	0,0049
1026	CDKN1A	0,2105	0,04
1027	CDKN1B	0,1948	0,016
1028	CDKN1C	0,2982	0,00000046
1029	CDKN2A	-0,0162	0,097
1030	CDKN2B	0,0719	0,0042
1031	CDKN2C	0,1111	0,0000092
1032	CDKN2D	-0,2528	0,00000000029
1033	CDKN3	-0,0971	0,023
1036	CDO1	-0,4305	0,00000013
1038	CDR1	-1,752	0,00000000022
1039	CDR2	-0,3701	0,0000000002
1040	CDS1	-0,0938	0,059
1041	CDSN	-0,0128	0,74
1043	CD52	-0,141	0,0096
1044	CDX1	0,002	0,96
1045	CDX2	-0,1106	0,069
1046	CDX4	0,0086	0,78
1047	CLGN	-0,0456	0,12
1048	CEACAM5	0,1423	0,0019
1050	CEBPA	-0,0101	0,85
1052	CEBPD	0,3606	0,0042
1053	CEBPE	-0,0408	0,38
1054	CEBPG	0,115	0,018
1056	CEL	-0,0153	0,63
1058	CENPA	-0,0108	0,5
1060	CENPC1	0,0485	0,11
1062	CENPE	-0,0805	0,12
1063	CENPF	-0,0246	0,023
1066	CES1	0,0699	0,14
1068	CETN1	0,0033	0,92
1069	CETN2	0,3158	0,015
1070	CETN3	0,4031	0,00014
1071	CETP	-0,0346	0,44
1072	CFL1	-0,0752	0,013
1073	CFL2	0,1177	0,0031
1075	CTSC	0,0601	0,0076
1080	CFTR	-0,0373	0,049
1081	CGA	0,0417	0,2
1082	CGB	0,0045	0,93
1084	CEACAM3	0,0176	0,47
1087	CEACAM7	-0,0088	0,37
1088	CEACAM8	-0,0218	0,33
1089	CEACAM4	-0,0166	0,59
1101	CHAD	-0,1306	0,00052
1102	RCBTB2	0,2946	0,0002
1103	CHAT	-0,01	0,78
